Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_165C
Operator	Keshav
Date	5/14/2025
Time	19:15
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	8
dt	50.000001E-12
time stamp (ms)	7:23:50 PM
	
Time	Amplitude
2.410000E-8	-4.385058E-4
2.415000E-8	-4.385058E-4
2.420000E-8	-4.196634E-4
2.425000E-8	-3.956821E-4
2.430000E-8	-3.511454E-4
2.435000E-8	-2.826274E-4
2.440000E-8	-2.158223E-4
2.445000E-8	-1.644338E-4
2.450000E-8	-1.233230E-4
2.455000E-8	-9.077695E-5
2.460000E-8	-7.536040E-5
2.465000E-8	-6.336975E-5
2.470000E-8	-5.137909E-5
2.475000E-8	-5.480499E-5
2.480000E-8	-7.707335E-5
2.485000E-8	-1.027676E-4
2.490000E-8	-1.198971E-4
2.495000E-8	-1.336007E-4
2.500000E-8	-1.473043E-4
2.505000E-8	-1.541561E-4
2.510000E-8	-1.558690E-4
2.515000E-8	-1.575820E-4
2.520000E-8	-1.610079E-4
2.525000E-8	-1.541561E-4
2.530000E-8	-1.318877E-4
2.535000E-8	-8.735105E-5
2.540000E-8	-5.129443E-6
2.545000E-8	1.301936E-4
2.550000E-8	3.460253E-4
2.555000E-8	6.680599E-4
2.560000E-8	1.111714E-3
2.565000E-8	1.687265E-3
2.570000E-8	2.430686E-3
2.575000E-8	3.355679E-3
2.580000E-8	4.445115E-3
2.585000E-8	5.692142E-3
2.590000E-8	7.105326E-3
2.595000E-8	8.646981E-3
2.600000E-8	1.026058E-2
2.605000E-8	1.191015E-2
2.610000E-8	1.354773E-2
2.615000E-8	1.511508E-2
2.620000E-8	1.655567E-2
2.625000E-8	1.782497E-2
2.630000E-8	1.888186E-2
2.635000E-8	1.970236E-2
2.640000E-8	2.028990E-2
2.645000E-8	2.062735E-2
2.650000E-8	2.071814E-2
2.655000E-8	2.055884E-2
2.660000E-8	2.016143E-2
2.665000E-8	1.953278E-2
2.670000E-8	1.871399E-2
2.675000E-8	1.777187E-2
2.680000E-8	1.679377E-2
2.685000E-8	1.583623E-2
2.690000E-8	1.498490E-2
2.695000E-8	1.431685E-2
2.700000E-8	1.389717E-2
2.705000E-8	1.373958E-2
2.710000E-8	1.384578E-2
2.715000E-8	1.419523E-2
2.720000E-8	1.472624E-2
2.725000E-8	1.537545E-2
2.730000E-8	1.607091E-2
2.735000E-8	1.672697E-2
2.740000E-8	1.723914E-2
2.745000E-8	1.755603E-2
2.750000E-8	1.764682E-2
2.755000E-8	1.748752E-2
2.760000E-8	1.707127E-2
2.765000E-8	1.642891E-2
2.770000E-8	1.561184E-2
2.775000E-8	1.469027E-2
2.780000E-8	1.375500E-2
2.785000E-8	1.289167E-2
2.790000E-8	1.216195E-2
2.795000E-8	1.163094E-2
2.800000E-8	1.136543E-2
2.805000E-8	1.137228E-2
2.810000E-8	1.161210E-2
2.815000E-8	1.204719E-2
2.820000E-8	1.264672E-2
2.825000E-8	1.333704E-2
2.830000E-8	1.401537E-2
2.835000E-8	1.461490E-2
2.840000E-8	1.508596E-2
2.845000E-8	1.536346E-2
2.850000E-8	1.540971E-2
2.855000E-8	1.520758E-2
2.860000E-8	1.478277E-2
2.865000E-8	1.417638E-2
2.870000E-8	1.342097E-2
2.875000E-8	1.257135E-2
2.880000E-8	1.172344E-2
2.885000E-8	1.096289E-2
2.890000E-8	1.034109E-2
2.895000E-8	9.894009E-3
2.900000E-8	9.690168E-3
2.905000E-8	9.748408E-3
2.910000E-8	1.003104E-2
2.915000E-8	1.050553E-2
2.920000E-8	1.111534E-2
2.925000E-8	1.178168E-2
2.930000E-8	1.243260E-2
2.935000E-8	1.301329E-2
2.940000E-8	1.346208E-2
2.945000E-8	1.371731E-2
2.950000E-8	1.374986E-2
2.955000E-8	1.356315E-2
2.960000E-8	1.315889E-2
2.965000E-8	1.256450E-2
2.970000E-8	1.184848E-2
2.975000E-8	1.107937E-2
2.980000E-8	1.032910E-2
2.985000E-8	9.652483E-3
2.990000E-8	9.094061E-3
