Study Name	SiC_phase_study
Sample Name	2025-11-07
Run Name	spot05
Operator	Keshav
Date	11/7/2025
Time	18:24
Sign	FIX
Grating Spacing	08.80um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	6:29:46 PM
	
Time	Amplitude
1.730000E-8	1.730279E-4
1.735000E-8	1.627502E-4
1.740000E-8	1.473337E-4
1.745000E-8	1.267783E-4
1.750000E-8	5.483436E-5
1.755000E-8	-3.937789E-5
1.760000E-8	-9.933115E-5
1.765000E-8	-1.490067E-4
1.770000E-8	-2.072470E-4
1.775000E-8	-1.969693E-4
1.780000E-8	-7.363689E-5
1.785000E-8	1.302042E-4
1.790000E-8	4.299704E-4
1.795000E-8	8.856151E-4
1.800000E-8	1.483435E-3
1.805000E-8	2.252549E-3
1.810000E-8	3.282032E-3
1.815000E-8	4.582161E-3
1.820000E-8	6.103261E-3
1.825000E-8	7.848757E-3
1.830000E-8	9.842631E-3
1.835000E-8	1.203863E-2
1.840000E-8	1.442135E-2
1.845000E-8	1.695823E-2
1.850000E-8	1.958589E-2
1.855000E-8	2.227351E-2
1.860000E-8	2.506219E-2
1.865000E-8	2.791254E-2
1.870000E-8	3.073206E-2
1.875000E-8	3.348477E-2
1.880000E-8	3.618266E-2
1.885000E-8	3.873667E-2
1.890000E-8	4.107485E-2
1.895000E-8	4.322289E-2
1.900000E-8	4.515338E-2
1.905000E-8	4.674814E-2
1.910000E-8	4.796605E-2
1.915000E-8	4.886706E-2
1.920000E-8	4.945460E-2
1.925000E-8	4.962932E-2
1.930000E-8	4.939636E-2
1.935000E-8	4.883623E-2
1.940000E-8	4.797119E-2
1.945000E-8	4.681152E-2
1.950000E-8	4.542232E-2
1.955000E-8	4.383270E-2
1.960000E-8	4.206151E-2
1.965000E-8	4.021495E-2
1.970000E-8	3.839751E-2
1.975000E-8	3.660919E-2
1.980000E-8	3.488767E-2
1.985000E-8	3.333917E-2
1.990000E-8	3.197908E-2
1.995000E-8	3.083141E-2
2.000000E-8	3.002803E-2
2.005000E-8	2.960836E-2
2.010000E-8	2.946619E-2
2.015000E-8	2.953299E-2
2.020000E-8	2.982419E-2
2.025000E-8	3.030039E-2
2.030000E-8	3.087937E-2
2.035000E-8	3.151488E-2
2.040000E-8	3.214010E-2
2.045000E-8	3.267454E-2
2.050000E-8	3.310107E-2
2.055000E-8	3.339569E-2
2.060000E-8	3.349676E-2
2.065000E-8	3.340597E-2
2.070000E-8	3.314218E-2
