Study Name	PremaTech_CVD_SiC_1_Heating
Sample Name	2024-12-17
Run Name	spot04_300
Operator	Keshav
Date	12/17/2024
Time	17:55
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	5:55:34 PM
	
Time	Amplitude
3.940000E-8	-8.239338E-4
3.950000E-8	-9.558309E-4
3.960000E-8	-1.152820E-3
3.970000E-8	-1.315550E-3
3.980000E-8	-1.449161E-3
3.990000E-8	-1.514253E-3
4.000000E-8	-1.546799E-3
4.010000E-8	-1.541660E-3
4.020000E-8	-1.473142E-3
4.030000E-8	-1.384068E-3
4.040000E-8	-1.255597E-3
4.050000E-8	-1.169950E-3
4.060000E-8	-1.116848E-3
4.070000E-8	-1.144255E-3
4.080000E-8	-1.238468E-3
4.090000E-8	-1.317263E-3
4.100000E-8	-1.372078E-3
4.110000E-8	-1.332680E-3
4.120000E-8	-1.240181E-3
4.130000E-8	-1.151107E-3
4.140000E-8	-1.118561E-3
4.150000E-8	-1.091154E-3
4.160000E-8	-1.118561E-3
4.170000E-8	-1.147681E-3
4.180000E-8	-1.176802E-3
4.190000E-8	-1.163098E-3
4.200000E-8	-1.163098E-3
4.210000E-8	-1.180227E-3
4.220000E-8	-1.223051E-3
4.230000E-8	-1.259023E-3
4.240000E-8	-1.286430E-3
4.250000E-8	-1.245320E-3
4.260000E-8	-1.188792E-3
4.270000E-8	-1.091154E-3
4.280000E-8	-9.952288E-4
4.290000E-8	-9.575439E-4
4.300000E-8	-9.849511E-4
4.310000E-8	-1.072312E-3
4.320000E-8	-1.200783E-3
4.330000E-8	-1.308699E-3
4.340000E-8	-1.387494E-3
4.350000E-8	-1.397772E-3
4.360000E-8	-1.353235E-3
4.370000E-8	-1.279579E-3
4.380000E-8	-1.238468E-3
4.390000E-8	-1.190505E-3
4.400000E-8	-1.152820E-3
4.410000E-8	-1.082589E-3
4.420000E-8	-1.026062E-3
4.430000E-8	-9.455532E-4
4.440000E-8	-8.924518E-4
4.450000E-8	-8.770352E-4
4.460000E-8	-9.369885E-4
4.470000E-8	-1.034627E-3
4.480000E-8	-1.116848E-3
4.490000E-8	-1.147681E-3
4.500000E-8	-1.091154E-3
4.510000E-8	-9.729604E-4
4.520000E-8	-8.513410E-4
4.530000E-8	-7.776841E-4
4.540000E-8	-7.948136E-4
4.550000E-8	-8.890259E-4
4.560000E-8	-1.041478E-3
4.570000E-8	-1.111709E-3
4.580000E-8	-1.080876E-3
4.590000E-8	-9.112942E-4
4.600000E-8	-7.245827E-4
4.610000E-8	-5.618524E-4
4.620000E-8	-5.207416E-4
4.630000E-8	-5.532877E-4
4.640000E-8	-6.766201E-4
4.650000E-8	-8.616187E-4
4.660000E-8	-1.072312E-3
4.670000E-8	-1.298421E-3
4.680000E-8	-1.497123E-3
4.690000E-8	-1.635872E-3
4.700000E-8	-1.695825E-3
4.710000E-8	-1.603326E-3
4.720000E-8	-1.378930E-3
4.730000E-8	-1.109996E-3
4.740000E-8	-8.907388E-4
4.750000E-8	-7.999525E-4
4.760000E-8	-8.496280E-4
4.770000E-8	-9.969417E-4
4.780000E-8	-1.139117E-3
4.790000E-8	-1.192218E-3
4.800000E-8	-1.113422E-3
4.810000E-8	-9.780993E-4
4.820000E-8	-8.427762E-4
4.830000E-8	-7.725453E-4
4.840000E-8	-8.068043E-4
4.850000E-8	-9.130072E-4
4.860000E-8	-1.008932E-3
4.870000E-8	-1.062034E-3
4.880000E-8	-1.056895E-3
4.890000E-8	-9.900899E-4
4.900000E-8	-9.010165E-4
4.910000E-8	-8.136561E-4
4.920000E-8	-7.348604E-4
4.930000E-8	-7.314345E-4
4.940000E-8	-7.674064E-4
4.950000E-8	-8.324985E-4
4.960000E-8	-8.907388E-4
4.970000E-8	-8.941647E-4
4.980000E-8	-9.010165E-4
4.990000E-8	-8.958777E-4
5.000000E-8	-8.547669E-4
5.010000E-8	-8.119431E-4
5.020000E-8	-8.222208E-4
5.030000E-8	-8.650446E-4
5.040000E-8	-9.181460E-4
5.050000E-8	-9.249978E-4
5.060000E-8	-9.164331E-4
5.070000E-8	-9.010165E-4
5.080000E-8	-8.958777E-4
5.090000E-8	-9.232849E-4
5.100000E-8	-9.678216E-4
5.110000E-8	-1.022636E-3
5.120000E-8	-1.012358E-3
5.130000E-8	-9.832381E-4
5.140000E-8	-9.575439E-4
5.150000E-8	-9.352755E-4
5.160000E-8	-9.421273E-4
5.170000E-8	-1.010645E-3
5.180000E-8	-1.137404E-3
5.190000E-8	-1.265875E-3
5.200000E-8	-1.368652E-3
5.210000E-8	-1.418327E-3
5.220000E-8	-1.380643E-3
5.230000E-8	-1.274440E-3
5.240000E-8	-1.094580E-3
5.250000E-8	-9.095813E-4
5.260000E-8	-7.776841E-4
5.270000E-8	-7.674064E-4
5.280000E-8	-8.342115E-4
5.290000E-8	-9.472662E-4
5.300000E-8	-1.019210E-3
5.310000E-8	-1.029488E-3
5.320000E-8	-9.387014E-4
5.330000E-8	-8.016654E-4
5.340000E-8	-6.988884E-4
5.350000E-8	-6.440740E-4
5.360000E-8	-6.594906E-4
5.370000E-8	-7.194438E-4
5.380000E-8	-7.588417E-4
5.390000E-8	-7.554158E-4
5.400000E-8	-6.920366E-4
5.410000E-8	-5.704172E-4
5.420000E-8	-4.505107E-4
5.430000E-8	-3.768538E-4
5.440000E-8	-3.905574E-4
5.450000E-8	-4.333812E-4
5.460000E-8	-5.361582E-4
5.470000E-8	-6.269445E-4
5.480000E-8	-6.594906E-4
5.490000E-8	-6.646294E-4
5.500000E-8	-6.492129E-4
5.510000E-8	-6.132409E-4
5.520000E-8	-6.115280E-4
5.530000E-8	-6.063891E-4
5.540000E-8	-6.457870E-4
5.550000E-8	-7.023143E-4
5.560000E-8	-7.759712E-4
5.570000E-8	-8.324985E-4
5.580000E-8	-8.958777E-4
5.590000E-8	-9.284237E-4
5.600000E-8	-8.924518E-4
5.610000E-8	-8.410633E-4
5.620000E-8	-7.725453E-4
5.630000E-8	-7.245827E-4
5.640000E-8	-7.194438E-4
5.650000E-8	-7.725453E-4
5.660000E-8	-8.770352E-4
5.670000E-8	-9.935158E-4
5.680000E-8	-1.050043E-3
5.690000E-8	-1.017497E-3
5.700000E-8	-9.558309E-4
5.710000E-8	-8.530539E-4
5.720000E-8	-7.913877E-4
5.730000E-8	-7.708323E-4
5.740000E-8	-8.376374E-4
5.750000E-8	-9.352755E-4
5.760000E-8	-1.026062E-3
5.770000E-8	-1.060321E-3
5.780000E-8	-1.044904E-3
5.790000E-8	-9.729604E-4
5.800000E-8	-8.907388E-4
5.810000E-8	-8.016654E-4
5.820000E-8	-7.211568E-4
5.830000E-8	-6.355093E-4
5.840000E-8	-5.669913E-4
5.850000E-8	-5.515747E-4
5.860000E-8	-5.515747E-4
5.870000E-8	-6.235186E-4
5.880000E-8	-7.194438E-4
5.890000E-8	-8.136561E-4
5.900000E-8	-8.753223E-4
5.910000E-8	-8.581928E-4
5.920000E-8	-8.033784E-4
5.930000E-8	-7.365733E-4
5.940000E-8	-7.091661E-4
5.950000E-8	-7.091661E-4
5.960000E-8	-7.828230E-4
5.970000E-8	-8.718964E-4
5.980000E-8	-9.455532E-4
5.990000E-8	-9.626827E-4
6.000000E-8	-9.181460E-4
6.010000E-8	-8.616187E-4
6.020000E-8	-7.896748E-4
6.030000E-8	-7.417122E-4
6.040000E-8	-7.125920E-4
6.050000E-8	-6.971755E-4
6.060000E-8	-7.297215E-4
6.070000E-8	-7.776841E-4
6.080000E-8	-8.170820E-4
6.090000E-8	-8.170820E-4
6.100000E-8	-7.811100E-4
6.110000E-8	-6.886107E-4
6.120000E-8	-6.063891E-4
6.130000E-8	-5.430100E-4
6.140000E-8	-5.293064E-4
6.150000E-8	-5.721301E-4
6.160000E-8	-6.920366E-4
6.170000E-8	-8.050913E-4
6.180000E-8	-8.993036E-4
6.190000E-8	-9.335626E-4
6.200000E-8	-9.147201E-4
6.210000E-8	-8.119431E-4
6.220000E-8	-7.006014E-4
6.230000E-8	-6.457870E-4
6.240000E-8	-6.474999E-4
6.250000E-8	-6.629165E-4
6.260000E-8	-7.057402E-4
6.270000E-8	-7.331474E-4
6.280000E-8	-7.828230E-4
6.290000E-8	-7.793971E-4
6.300000E-8	-7.776841E-4
6.310000E-8	-7.245827E-4
6.320000E-8	-6.252316E-4
6.330000E-8	-4.830567E-4
6.340000E-8	-3.391689E-4
6.350000E-8	-2.466696E-4
6.360000E-8	-2.518085E-4
6.370000E-8	-3.717150E-4
6.380000E-8	-5.567136E-4
6.390000E-8	-7.571287E-4
6.400000E-8	-8.633316E-4
6.410000E-8	-8.907388E-4
6.420000E-8	-8.307856E-4
6.430000E-8	-7.485640E-4
6.440000E-8	-6.749071E-4
6.450000E-8	-6.612035E-4
6.460000E-8	-6.903237E-4
6.470000E-8	-7.742582E-4
6.480000E-8	-8.513410E-4
6.490000E-8	-8.787482E-4
6.500000E-8	-8.667575E-4
6.510000E-8	-8.444892E-4
6.520000E-8	-8.102302E-4
6.530000E-8	-7.879618E-4
6.540000E-8	-7.931007E-4
6.550000E-8	-8.462021E-4
6.560000E-8	-8.924518E-4
6.570000E-8	-9.027295E-4
